number,group,family,species,animal
157,Coleoptera,Stapylinidae,Tachyporus obtusus,1
158,Coleoptera,Stapylinidae,Tachyusa sp. (juv),1
159,Coleoptera,Stapylinidae,Xantholinus laevigatus,1
160,Coleoptera,Stapylinidae,Xantholinus sp. (juv),1
161,Coleoptera,Stapylinidae,Xantholininae sp1 (juv),1
162,Coleoptera,Stapylinidae,Staphylinidae sp1 (juv),1
163,Opiliones,Trogulidae,Anelasmocephalus cambridgei,1
164,Araneae,Amaurobiidae,Amaurobius sp (juv),1
165,Araneae,Salticidae,Ballus chalybeius (ad),1
166,Araneae,Salticidae,Ballus chalybeius (juv),1
167,Araneae,Linyphiidae,Centomerus sylvaticus (ad),1
168,Araneae,Amaurobiidae,Coelotes sp (juv) {l},1
169,Araneae,Clubionidae,Clubiona comta (ad),1
170,Araneae,Amaurobiidae,Coelotes terrestris (ad),1
171,Araneae,Linyphiidae,Diplocephalus latifrons (ad),1
172,Araneae,Linyphiidae,Diplocephalus picinus (ad),1
173,Araneae,Gnaphosidae,Gnaphosidae (juv),1
174,Araneae,Hahniidae,Hahnia pusilla (juv),1
175,Araneae,Hahniidae,Hahnia pusilla (ad),1
176,Araneae,Dysderidae,Harpactea lepida (juv),1
177,Araneae,Dysderidae,Harpactea lepida (ad),1
178,Araneae,Linyphiidae,Linyphiidae (juv),1
179,Araneae,Linyphiidae,Micrargus herbigradus (ad),1
180,Araneae,Linyphiidae,Microneta viaria (ad),1
181,Pseudoscorpiones,Neobisidae,Neobisium carcinoides (ad),1
182,Pseudoscorpiones,Neobisidae,Neobisium sp,1
183,Araneae,Salticidae,Neon reticulatus (ad),1
184,Araneae,Salticidae,Neon reticulatus (juv),1
185,Opiliones,Phalangiidae,Phalangiidae (juv),1
186,Araneae,Theridiidae,Robertus lividus (ad),1
187,Araneae,Theridiidae,Robertus sp (juv) {m},1
188,Araneae,Linyphiidae,Saloca diceros (ad),1
189,Araneae,Linyphiidae,Tapinocyba insecta (ad),1
190,Araneae,Linyphiidae,Tapinocyba pallens (ad),1
191,Araneae,Linyphiidae,Tenuiphantes tenebricola (ad),1
