sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,animal,original_sp_id
Juglandaceae (Platycarya sp. 2 and Platycaryapollenites miocaenicus),autotroph ,autotroph,,148,Fagales,3,1,0,149
Juglandaceae (Plicatopollis hungaricus),autotroph ,autotroph,,149,Fagales,3,1,0,150
Juglandaceae (Plicatopollis lunatus),autotroph ,autotroph,,150,Fagales,3,1,0,151
Juglandaceae (Plicatopollis plicatus),autotroph ,autotroph,,151,Fagales,3,1,0,152
Juglandaceae (Plicatopollis potoniei),autotroph ,autotroph,,152,Fagales,3,1,0,153
Juglandaceae (Pterocarya sp. and Pterocaryapollenites stellatus),autotroph ,autotroph,,153,Fagales,3,1,0,154
Fagaceae (Quercus sp. and Tricolpopollenites asper),autotroph ,autotroph,,154,Fagales,3,1,0,155
Fagaceae (Tricolpopollenites liblarensis),autotroph ,autotroph,,155,Fagales,3,1,0,156
Fagaceae (Tricolporopollenites cingulum),autotroph ,autotroph,,156,Fagales,3,1,0,157
Myrtaceae (Rhodomyrtophyllum rossmassleri),autotroph ,autotroph,,157,Myrtales,3,1,0,158
Myrtaceae (Rhodomyrtus sinuata ),autotroph ,autotroph,,158,Myrtales,3,1,0,159
Myrtaceae (Duplopollis myrtoides),autotroph ,autotroph,,159,Myrtales,3,1,0,160
Lythraceae (gen. et sp. indet.),autotroph ,autotroph,,160,Myrtales,3,1,0,161
Thymelaeaceae (gen. et sp. indet.),autotroph ,autotroph,,161,Malvales,3,1,0,162
Tiliaceae (Dombeya sp.),autotroph ,autotroph,,162,Malvales,3,1,0,163
Tiliaceae (Intratiporopollenites ceciliensis),autotroph ,autotroph,,163,Malvales,3,1,0,164
Tiliaceae (Intratiporopollenites minimus),autotroph ,autotroph,,164,Malvales,3,1,0,165
Bombacaceae (Bombacacidites kettigensis ),autotroph ,autotroph,,165,Malvales,3,1,0,166
Bombacaceae (Bombacacidites tilioides ),autotroph ,autotroph,,166,Malvales,3,1,0,167
Bombacaceae (Bombacacidites sp. ),autotroph ,autotroph,,167,Malvales,3,1,0,168
Sterculiaceae (Reevesiapollis triangulus or eucaenicus),autotroph ,autotroph,,168,Malvales,3,1,0,169
Anacardiaceae (cf. Pentoperculum†),autotroph ,autotroph,,169,Sapindales,3,1,0,170
Anacardiaceae (gen. et sp. indet.),autotroph ,autotroph,,170,Sapindales,3,1,0,171
Rutaceae (Toddalia ovata),autotroph ,autotroph,,171,Sapindales,3,1,0,172
Rutaceae (Rutaspermum sp.),autotroph ,autotroph,,172,Sapindales,3,1,0,173
Rutaceae (Rutaspermum chandlerae),autotroph ,autotroph,,173,Sapindales,3,1,0,174
Rutaceae (Rutaspermum messelense),autotroph ,autotroph,,174,Sapindales,3,1,0,175
Simaroubaceae (Ailanthus sp.),autotroph ,autotroph,,175,Sapindales,3,1,0,176
Sapindaceae (Acer and Aceripollis striatus ),autotroph ,autotroph,,176,Sapindales,3,1,0,177
Burseraceae (Canarium sp.),autotroph ,autotroph,,177,Sapindales,3,1,0,178
Cornaceae (gen. et sp. indet.),autotroph ,autotroph,,178,Cornales,3,1,0,179
Mastixiaceae (Tricolporopollenites satzveyensis),autotroph ,autotroph,,179,Cornales,3,1,0,180
Nyssaceae (Nyssa and Nyssapollenites kruschii ),autotroph ,autotroph,,180,Cornales,3,1,0,181
?Clethraceae (Tricolporopollenites megaexactus),autotroph ,autotroph,,181,Ericales,2,1,0,182
Cyrillaceae (sp. indet. 2),autotroph ,autotroph,,182,Ericales,3,1,0,183
Cyrillaceae (cf. Cyrilla sp.),autotroph ,autotroph,,183,Ericales,3,1,0,184
Lecythidaceae (gen. et sp. indet.),autotroph ,autotroph,,184,Ericales,3,1,0,185
Ericaceae (Ericipites ericius),autotroph ,autotroph,,185,Ericales,3,1,0,186
Ericaceae (Ericipites callidus),autotroph ,autotroph,,186,Ericales,3,1,0,187
Theaceae (cf. Polyspora saxonica),autotroph ,autotroph,,187,Ericales,3,1,0,188
Theaceae (cf. Ternstroemites 'dentatus'),autotroph ,autotroph,,188,Ericales,3,1,0,189
Theaceae (gen. et sp. indet.),autotroph ,autotroph,,189,Ericales,3,1,0,190
Symplocaceae (Porocolpopollenites calauensis),autotroph ,autotroph,,190,Ericales,3,1,0,191
Symplocaceae (Porocolpopollenites rarobaculatus),autotroph ,autotroph,,191,Ericales,3,1,0,192
Sapotaceae (Tetracolporopollenites sapotoides),autotroph ,autotroph,,192,Ericales,3,1,0,193
Sapotaceae (Tetracolporopollenites manifestus),autotroph ,autotroph,,193,Ericales,3,1,0,194
Rubiaceae (gen. et sp. indet.),autotroph ,autotroph,,194,Gentianales,3,1,0,195
Apocynaceae (Apocynophyllum sp.),autotroph ,autotroph,,195,Gentianales,3,1,0,196
Apocynaceae (gen. et sp. indet.),autotroph ,autotroph,,196,Gentianales,3,1,0,197
Oleaceae (Tricolporopollenites microreticulatus),autotroph ,autotroph,,197,Lamiales,3,1,0,198
Verbenaceae (gen. et sp. indet.),autotroph ,autotroph,,198,Lamiales,3,1,0,199
Aquifoliaceae (Ilexpollenites iliacus ),autotroph ,autotroph,,199,Aquifoliales,3,1,0,200
Aquifoliaceae (Ilexpollenites margaritatus ),autotroph ,autotroph,,200,Aquifoliales,3,1,0,201
Araliaceae (Araliaceoipollenites reticuloides),autotroph ,autotroph,,201,Apiales,3,1,0,202
Araliaceae (Araliaceoipollenites euphorii),autotroph ,autotroph,,202,Apiales,3,1,0,203
Caprifoliaceae (Sambucus sp.),autotroph ,autotroph,,203,Dipsacales,3,1,0,204
Fam. incertae (Punigiphyllum waltheri),autotroph ,autotroph,,204,Angiospermopsida,3,1,0,205
monocot incertae,autotroph ,autotroph,,205,Angiospermopsida,3,1,0,206
unknown dicot fruit (gen. 1),autotroph ,autotroph,,206,Angiospermopsida,3,1,0,207
dicot incertae (gen. 2),autotroph ,autotroph,,207,Angiospermopsida,3,1,0,208
dicot incertae: twig 1,autotroph ,autotroph,,208,Angiospermopsida,3,1,0,209
dicot incertae: twig 2,autotroph ,autotroph,,209,Angiospermopsida,3,1,0,210
dicot incertae: twig 3,autotroph ,autotroph,,210,Angiospermopsida,3,1,0,211
dicot incertae (Tricolporopollenites edmundii),autotroph ,autotroph,,211,Angiospermopsida,3,1,0,212
dicot incertae (Tricolpopollenites vegetus),autotroph ,autotroph,,212,Angiospermopsida,3,1,0,213
dicot incertae (Tricolporopollenites microporitus),autotroph ,autotroph,,213,Angiospermopsida,3,1,0,214
dicot incertae (Tricolporopollenites mansfeldensis),autotroph ,autotroph,,214,Angiospermopsida,3,1,0,215
dicot incertae (Tricolporopollenites messelensis),autotroph ,autotroph,,215,Angiospermopsida,3,1,0,216
dicot incertae (Tricolporopollenites belgicus),autotroph ,autotroph,,216,Angiospermopsida,3,1,0,217
dicot incertae (Tricolporopollenites eocaenicus),autotroph ,autotroph,,217,Angiospermopsida,3,1,0,218
dicot incertae (Tricolporopollenites abbreviatus),autotroph ,autotroph,,218,Angiospermopsida,3,1,0,219
unknown fruit (gen. 3),autotroph ,autotroph,,219,Angiospermopsida,3,1,0,220
lichen,saprobe ,saprobe,,220,lichen,2,1,0,221
Rhytismatales epiphyllous asomycete (cf. Rhytisma sp.),saprobe ,saprobe,,221,Ascomycetes,3,1,0,222
epiphyllous fungal species 2,saprobe ,saprobe,,222,Basidiomycetes,2,1,0,223
epiphyllous fungal species 3,saprobe ,saprobe,,223,Basidiomycetes,2,1,0,224
epiphyllous fungi species and DT58 undifferentiated (host 1),saprobe ,saprobe,,224,Basidiomycetes,3,1,0,225
epiphyllous fungi species and DT58 undifferentiated (host 2),saprobe ,saprobe,,225,Basidiomycetes,3,1,0,226
Agaricales (Fam. incertae),saprobe ,saprobe,,226,Basidiomycetes,2,1,0,227
litter fungus,saprobe ,saprobe,,227,Ascomycetes,3,1,0,228
wood rot (perithecia),saprobe ,saprobe,,228,Ascomycetes,3,1,0,229
intestinal fungi,saprobe ,saprobe,,229,Fungi,3,1,0,230
tubiform structures,saprobe ,saprobe,,230,Fungi,2,2,0,231
Hydrobiidae (gen. et sp. indet.),detritivore ,detritivore,,231,Sorbeoconcha,3,2,1,232
Spongillidae (Lutetiospongilla heili),omnivore (FF) ,omnivore (FF),,232,Haplosclerida,3,2,1,233
Spongillidae (Ephydatia gutenbergiana),omnivore (FF) ,omnivore (FF),,233,Haplosclerida,3,2,1,234
Order incertae sedis,omnivore (FF) ,omnivore (FF),,234,Entoprocta,3,2,1,235
Unionidae (gen. et sp. indet.),omnivore (FF) ,omnivore (FF),,235,Unionoida,3,2,1,236
Bivalvia (Mytilidae and cf. Anodonta),omnivore (FF) ,omnivore (FF),,236,Mytiloidea,3,2,1,237
Gastropoda (Vivaparidae: Vivaparus sp.),omnivore (FF) ,omnivore (FF),,237,Streptoneura,3,1,1,238
Gastropoda: Planorbidae (Australorbis cf. pseudoammonius),omnivore (FF) ,omnivore (FF),,238,Pulmonata,3,1,1,239
Gastropoda: Fam. Indet. (Toxocoprulus weitzeli),omnivore (FF) ,omnivore (FF),,239,?Sorbeoconcha,3,2,1,240
Gastropoda: Pleuroceridae (gen. et sp. indet.),herbivore (EFF) ,herbivore (EFF),,240,Sorbeoconcha,3,2,1,241
Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),241,Branchiopoda,3,2,1,242
Moinidae (Moina macrocopa),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),242,Cladocera,3,2,1,243
Cf. Bosminidae,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),243,Cladocera,3,2,1,244
Daphniidae (Ctenodaphnia magna),detritivore detritivore,detritivore,detritivore,244,Cladocera,3,2,1,245
Daphniidae (Daphnia pulex),detritivore detritivore,detritivore,detritivore,245,Cladocera,3,2,1,246
Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),246,Ostracoda,3,2,1,247
Cf. Ovjurium or Monoleiolophus),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),247,Conchostraca,3,2,1,248
Atyidae (gen. et sp. indet.),predator predator,predator,predator,248,Decapoda,3,2,1,249
Baetidae or Siphlonuridae,detritivore nonfeeding,detritivore,nonfeeding,249,Ephemeroptera,3,3,1,250
Fam. indet. and sp. 1,insectivore insectivore,insectivore,insectivore,250,Odonata,2,3,1,251
Fam. indet. and sp. 2,insectivore insectivore,insectivore,insectivore,251,Odonata,2,3,1,252
Anisoptera (Aeschnidae gen. et sp. indet.),insectivore insectivore,insectivore,insectivore,252,Odonata,3,3,1,253
Zygoptera (Coenagrionidae indet. and DT76),insectivore insectivore,insectivore,insectivore,253,Odonata,3,3,1,254
Zygoptera (Coenagrionidae indet. and DT 54),insectivore insectivore,insectivore,insectivore,254,Odonata,2,3,1,255
Zygoptera (fam. indet. and DT100),insectivore insectivore,insectivore,insectivore,255,Odonata,2,3,1,256
Fam. indet.,detritivore detritivore,detritivore,detritivore,256,Plecoptera,3,3,1,257
Gryllacrididae,herbivore (RF) herbivore (RF),herbivore (RF),herbivore (RF),257,Orthoptera,3,1,1,258
Tettigoniidae,herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),258,Orthoptera,3,1,1,259
Fam. indet. (DT12 and DT13 and DT14),herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),259,Orthoptera,1,1,1,260
Fam. indet,detritivore omnivore,detritivore,omnivore,260,Dermaptera,3,1,1,261
Blattidae (Periplaneta eocaenica),detritivore detritivore,detritivore,detritivore,261,Blattodea,3,1,1,262
Blattidae (Periplaneta relicta),detritivore detritivore,detritivore,detritivore,262,Blattodea,3,1,1,263
Mastotermitidae (Mastotermes krishnorum),detritivore detritivore,detritivore,detritivore,263,Isoptera,3,1,1,264
Hodotermitidae?,detritivore detritivore,detritivore,detritivore,264,Isoptera,3,1,1,265
Fam. indet. (DT12),herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),265,Phasmatodea,3,1,1,266
Phyllidae (Eophyllium messelensis),herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),266,Phasmatodea,3,1,1,267
Coccoidea (fam. indet. 1 and DT157),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),267,Hemiptera,2,1,1,268
Coccoidea (fam. indet. 2. DT183,herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),268,Hemiptera,3,1,1,269
Coccoidea (fam. indet. 3 and DT132),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),269,Hemiptera,3,1,1,270
Diaspididae (Aspidiotinae sp. 1 and DT191,herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),270,Hemiptera,3,1,1,271
Diaspididae (Aspidiotinae sp. 2 and DT168,herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),271,Hemiptera,3,1,1,272
Aphididae (gen. sp. indet. and DT146,herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),272,Hemiptera,3,1,1,273
Aphididae ('Hamamelistes' sp. and DT205,herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),273,Hemiptera,3,1,1,274
Aphididae (cf. Pemphigus sp. and DT169,herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),274,Hemiptera,3,1,1,275
Aphididae (Trioza sp. and DT32),herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),275,Hemiptera,3,1,1,276
Aphididae (gen. et sp. indet. and DT190),herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),276,Hemiptera,3,1,1,277
