sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,original_sp_id
Fam. indet. and sp. 1,insectivore insectivore,insectivore,insectivore,58,Odonata,2,3,11,4,4.281767955801104,4.0,0.9545454545454546,0.7291666666666666,4.172378690540085,1.0728202066250583,0.6784230631089128,251
Fam. indet. and sp. 2,insectivore insectivore,insectivore,insectivore,59,Odonata,2,3,11,5,4.118012422360248,4.0,0.9813084112149533,0.7142857142857143,4.172378690540085,1.0728202066250583,0.6784230631089128,252
Anisoptera (Aeschnidae gen. et sp. indet.),insectivore insectivore,insectivore,insectivore,60,Odonata,3,3,7,5,4.321428571428571,5.0,1.1170212765957446,0.621301775147929,4.172378690540085,1.0728202066250583,0.6784230631089128,253
Zygoptera (Coenagrionidae indet. and DT76),insectivore insectivore,insectivore,insectivore,61,Odonata,3,3,13,8,4.355648535564853,5.0,1.1666666666666667,0.6862745098039216,4.172378690540085,1.0728202066250583,0.6784230631089128,254
Zygoptera (Coenagrionidae indet. and DT 54),insectivore insectivore,insectivore,insectivore,62,Odonata,2,3,14,11,4.320675105485233,4.0,1.2209302325581395,0.7342657342657343,4.172378690540085,1.0728202066250583,0.6784230631089128,255
Zygoptera (fam. indet. and DT100),insectivore insectivore,insectivore,insectivore,63,Odonata,2,3,11,8,4.15625,4.0,1.05,0.7046979865771812,4.172378690540085,1.0728202066250583,0.6784230631089128,256
Fam. indet.,detritivore detritivore,detritivore,detritivore,64,Plecoptera,3,3,15,4,3.229166666666667,3.0,1.05,2.1,2.95734126984127,1.0643600958033945,4.875438596491228,257
Gerridae (Gerris sp.),insectivore insectivore,insectivore,insectivore,65,Hemiptera,3,2,14,5,4.018018018018018,4.0,1.0824742268041236,0.6441717791411042,4.172378690540085,1.0728202066250583,0.6784230631089128,295
Gerridae (Cylindrobates messelensis),insectivore insectivore,insectivore,insectivore,66,Hemiptera,3,2,15,4,3.807228915662651,4.0,1.0096153846153846,0.5932203389830508,4.172378690540085,1.0728202066250583,0.6784230631089128,296
Notonectidae (gen. et sp. indet.),insectivore herbivore (P&S),insectivore,herbivore (P&S),67,Hemiptera,3,2,17,6,4.051546391752577,4.0,1.105263157894737,0.6481481481481481,4.051546391752577,1.105263157894737,0.6481481481481481,297
Hydrophilidae (Eubrianax),detritivore omnivore,detritivore,omnivore,68,Coleoptera,3,2,16,6,3.825,4.0,1.2962962962962963,0.603448275862069,3.825,1.2962962962962963,0.603448275862069,304
Dytiscidae (gen. et sp. indet.),insectivore predator,insectivore,predator,69,Coleoptera,3,2,14,5,4.37914691943128,4.0,1.1538461538461537,0.75,4.37914691943128,1.1538461538461537,0.75,305
Tipulidae (gen. et sp. indet.),detritivore herbivore (SFF),detritivore,herbivore (SFF),70,Diptera,3,3,9,6,2.4,2.0,0.9905660377358491,6.176470588235294,2.850630011454754,1.1664850808951195,3.833943146636645,437
Limoniidae (gen. et sp. indet.),detritivore nonfeeding,detritivore,nonfeeding,71,Diptera,3,3,14,5,2.8461538461538463,3.0,1.0824742268041236,4.2,2.8564102564102565,1.1446853892641307,4.725,438
Chaoboridae (gen. indet. and larva),detritivore parasite,detritivore,parasite,72,Diptera,2,3,15,13,4.609756097560975,3.0,1.4383561643835616,0.695364238410596,3.719125048393341,1.3655280041616091,2.9906116088819634,439
Chironomidae (gen. et sp. indet.),detritivore parasite,detritivore,parasite,73,Diptera,2,3,9,9,3.142857142857143,2.0,1.3291139240506329,6.176470588235294,3.719125048393341,1.3655280041616091,2.9906116088819634,440
Culicidae (gen. et sp. indet.),detritivore parasite,detritivore,parasite,74,Diptera,3,3,9,11,3.4047619047619047,3.0,1.3291139240506329,2.1,3.719125048393341,1.3655280041616091,2.9906116088819634,441
Syrphidae (gen. et sp. indet.),fungivore herbivore (PO),fungivore,herbivore (PO),75,Diptera,3,3,0,6,1.0,0.0,0.9905660377358491,0.0,1.0,0.9905660377358491,0.0,464
Limnephilidae (gen. et sp. indet.),detritivore herbivore (SFF),detritivore,herbivore (SFF),76,Trichoptera,2,3,19,10,3.618556701030928,5.0,1.3291139240506329,0.5526315789473685,2.850630011454754,1.1664850808951195,3.833943146636645,500
Fam. indet. (larval cases),detritivore herbivore (SFF),detritivore,herbivore (SFF),77,Trichoptera,2,3,12,9,2.533333333333333,2.0,1.1797752808988764,4.7727272727272725,2.850630011454754,1.1664850808951195,3.833943146636645,501
Lepisosteidae (Atractosteus kinkelini),piscivore ,piscivore,,78,Lepisosteiformes,3,2,9,8,4.44559585492228,4.0,9.545454545454545,0.6645569620253164,4.679200442394522,20.57449494949495,0.554167727868874,558
Lepisosteidae (Masillosteus kelleri),predator ,predator,,79,Lepisosteiformes,3,2,6,3,4.702898550724638,4.0,17.5,0.5585106382978723,4.65223337512056,22.604404257630065,0.5516202959793284,559
Amiidae (Cyclurus kehreri),piscivore predator,piscivore,predator,80,Amiiformes,3,2,10,7,4.6187845303867405,4.0,10.5,0.603448275862069,4.6187845303867405,10.5,0.603448275862069,560
Thaumaturidae (Thaumaturus intermedius),omnivore predator,omnivore,predator,81,Clupeocephala,3,2,12,16,4.345679012345679,3.0,1.0824742268041236,0.7446808510638298,4.345679012345679,1.0824742268041236,0.7446808510638298,561
Anguillidae (Anguilla ignota),insectivore ,insectivore,,82,Angulliformes,3,2,3,2,4.507246376811594,4.0,52.5,0.5585106382978723,4.400355899609514,10.536489209372775,0.5884763033981973,562
Moronidae (Palaeoperca proxima),insectivore ,insectivore,,83,Perciformes,3,2,19,14,4.302395209580839,4.0,1.105263157894737,0.7954545454545454,4.400355899609514,10.536489209372775,0.5884763033981973,563
Moronidae (Rhenanoperca minuta),insectivore ,insectivore,,84,Perciformes,3,2,9,4,4.408602150537634,4.0,6.5625,0.6862745098039216,4.400355899609514,10.536489209372775,0.5884763033981973,564
Percichthyidae (Amphiperca multiformis),piscivore ,piscivore,,85,Perciformes,3,2,4,12,4.782608695652174,4.0,5.0,0.5645161290322581,4.679200442394522,20.57449494949495,0.554167727868874,565
Pelobatidae (Eopelobates wagneri),predator ,predator,,86,Anura,3,3,14,7,4.238317757009346,5.0,1.1290322580645162,0.7446808510638298,4.65223337512056,22.604404257630065,0.5516202959793284,566
Palaeobatrachidae (Messelobatrachus tobieni),insectivore ,insectivore,,87,Anura,3,3,1,4,4.739130434782609,6.0,1.0606060606060606,0.41015625,4.400355899609514,10.536489209372775,0.5884763033981973,567
Fam. indet. (Lutetiobatrachus gracilis),insectivore ,insectivore,,88,Anura,3,3,7,3,3.836065573770492,5.0,1.0,0.5965909090909091,4.400355899609514,10.536489209372775,0.5884763033981973,568
Xenopidae (gen. et sp. indet.),predator ,predator,,89,Anura,3,2,1,4,4.130434782608695,4.0,1.0606060606060606,0.5048076923076923,4.65223337512056,22.604404257630065,0.5516202959793284,569
Salamandridae (Chelotriton robustus),insectivore ,insectivore,,90,Urodela,3,3,1,6,4.608695652173913,4.0,0.9905660377358491,0.4838709677419355,4.400355899609514,10.536489209372775,0.5884763033981973,570
Fam. indet. (?Juvemys sp.),piscivore ,piscivore,,91,Testudines,2,2,2,0,4.586956521739131,4.0,0.0,0.5121951219512195,4.679200442394522,20.57449494949495,0.554167727868874,588
Fam. indet. (Francellia messeliana),predator ,predator,,92,Testudines,3,2,5,2,4.6173913043478265,4.0,52.5,0.5357142857142857,4.65223337512056,22.604404257630065,0.5516202959793284,589
Fam. indet. (Euroemys kehreri),predator ,predator,,93,Testudines,3,2,6,1,4.586956521739131,4.0,105.0,0.5645161290322581,4.65223337512056,22.604404257630065,0.5516202959793284,590
Emydidae (Allaeochelys gracilis),omnivore ,omnivore,,94,Testudines,3,2,11,0,4.33939393939394,4.0,0.0,0.6104651162790697,4.5053134080531345,0.0,0.5552325581395349,591
Carettochelyidae (Allaeochelys crassesculptata),omnivore ,omnivore,,95,Testudines,3,2,7,0,4.671232876712329,4.0,0.0,0.5,4.5053134080531345,0.0,0.5552325581395349,592
Trionychidae ('Trionyx' messelianus),predator ,predator,,96,Testudines,3,2,7,0,4.697841726618705,4.0,0.0,0.49295774647887325,4.65223337512056,22.604404257630065,0.5516202959793284,593
Leidyosuchidae (Diplocynodon darwini),piscivore ,piscivore,,97,Crocodylia,3,3,8,1,4.876543209876543,4.0,0.0,0.5072463768115942,4.679200442394522,20.57449494949495,0.554167727868874,594
Leidyosuchidae (Diplocynodon ebertsi),piscivore ,piscivore,,98,Crocodylia,3,3,9,1,4.686486486486487,4.0,0.0,0.5412371134020618,4.679200442394522,20.57449494949495,0.554167727868874,595
Leidyosuchidae (Baryphracta deponiae),predator ,predator,,99,Crocodylia,3,3,8,1,4.6482758620689655,4.0,0.0,0.6402439024390244,4.65223337512056,22.604404257630065,0.5516202959793284,596
Crocodylidae (Asiatosuchus germanicus),predator ,predator,,100,Crocodylia,3,3,5,1,5.268817204301076,5.0,0.0,0.40076335877862596,4.65223337512056,22.604404257630065,0.5516202959793284,597
Alligatoridae (Allognathosuchus haupti),predator molluscivore,predator,molluscivore,101,Crocodylia,3,3,5,2,5.086021505376344,6.0,105.0,0.5357142857142857,5.086021505376344,105.0,0.5357142857142857,598
Pristichampsidae (Pristichampsus rollinati),piscivore ,piscivore,,102,Crocodylia,3,3,11,1,4.705627705627705,4.0,0.0,0.5440414507772021,4.679200442394522,20.57449494949495,0.554167727868874,599
Tomastomidae (gen. et sp. indet),piscivore ,piscivore,,103,Crocodylia,3,3,5,2,4.6695652173913045,4.0,52.5,0.5276381909547738,4.679200442394522,20.57449494949495,0.554167727868874,601
Sulidae (Masillastega rectirostris),piscivore ,piscivore,,104,Pelecaniformes,3,3,5,1,4.852173913043478,4.0,105.0,0.5675675675675675,4.679200442394522,20.57449494949495,0.554167727868874,606
Idiornithidae (Idiornis cf. itardiensis),predator ,predator,,105,Gruiformes',3,3,4,2,4.979166666666666,6.0,26.25,0.5223880597014925,4.65223337512056,22.604404257630065,0.5516202959793284,610
Fam. Indet. (Quasisyndactylus longibrachis),piscivore ,piscivore,,106,Alcediiformes,3,3,3,4,4.507246376811594,4.0,13.125,0.5585106382978723,4.679200442394522,20.57449494949495,0.554167727868874,641
