sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat
Apocynaceae (Apocynophyllum sp.),autotroph ,autotroph,,196,Gentianales,3,1
Apocynaceae (gen. et sp. indet.),autotroph ,autotroph,,197,Gentianales,3,1
Oleaceae (Tricolporopollenites microreticulatus),autotroph ,autotroph,,198,Lamiales,3,1
Verbenaceae (gen. et sp. indet.),autotroph ,autotroph,,199,Lamiales,3,1
Aquifoliaceae (Ilexpollenites iliacus ),autotroph ,autotroph,,200,Aquifoliales,3,1
Aquifoliaceae (Ilexpollenites margaritatus ),autotroph ,autotroph,,201,Aquifoliales,3,1
Araliaceae (Araliaceoipollenites reticuloides),autotroph ,autotroph,,202,Apiales,3,1
Araliaceae (Araliaceoipollenites euphorii),autotroph ,autotroph,,203,Apiales,3,1
Caprifoliaceae (Sambucus sp.),autotroph ,autotroph,,204,Dipsacales,3,1
Fam. incertae (Punigiphyllum waltheri),autotroph ,autotroph,,205,Angiospermopsida,3,1
monocot incertae,autotroph ,autotroph,,206,Angiospermopsida,3,1
unknown dicot fruit (gen. 1),autotroph ,autotroph,,207,Angiospermopsida,3,1
dicot incertae (gen. 2),autotroph ,autotroph,,208,Angiospermopsida,3,1
dicot incertae: twig 1,autotroph ,autotroph,,209,Angiospermopsida,3,1
dicot incertae: twig 2,autotroph ,autotroph,,210,Angiospermopsida,3,1
dicot incertae: twig 3,autotroph ,autotroph,,211,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites edmundii),autotroph ,autotroph,,212,Angiospermopsida,3,1
dicot incertae (Tricolpopollenites vegetus),autotroph ,autotroph,,213,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites microporitus),autotroph ,autotroph,,214,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites mansfeldensis),autotroph ,autotroph,,215,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites messelensis),autotroph ,autotroph,,216,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites belgicus),autotroph ,autotroph,,217,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites eocaenicus),autotroph ,autotroph,,218,Angiospermopsida,3,1
dicot incertae (Tricolporopollenites abbreviatus),autotroph ,autotroph,,219,Angiospermopsida,3,1
unknown fruit (gen. 3),autotroph ,autotroph,,220,Angiospermopsida,3,1
lichen,saprobe ,saprobe,,221,lichen,2,1
Rhytismatales epiphyllous asomycete (cf. Rhytisma sp.),saprobe ,saprobe,,222,Ascomycetes,3,1
epiphyllous fungal species 2,saprobe ,saprobe,,223,Basidiomycetes,2,1
epiphyllous fungal species 3,saprobe ,saprobe,,224,Basidiomycetes,2,1
"epiphyllous fungi species, DT58 undifferentiated (host 1)",saprobe ,saprobe,,225,Basidiomycetes,3,1
"epiphyllous fungi species, DT58 undifferentiated (host 2)",saprobe ,saprobe,,226,Basidiomycetes,3,1
Agaricales (Fam. incertae),saprobe ,saprobe,,227,Basidiomycetes,2,1
litter fungus,saprobe ,saprobe,,228,Ascomycetes,3,1
wood rot (perithecia),saprobe ,saprobe,,229,Ascomycetes,3,1
intestinal fungi,saprobe ,saprobe,,230,Fungi,3,1
tubiform structures,saprobe ,saprobe,,231,Fungi,2,2
Hydrobiidae (gen. et sp. indet.),detritivore ,detritivore,,232,Sorbeoconcha,3,2
Spongillidae (Lutetiospongilla heili),omnivore (FF) ,omnivore (FF),,233,Haplosclerida,3,2
Spongillidae (Ephydatia gutenbergiana),omnivore (FF) ,omnivore (FF),,234,Haplosclerida,3,2
Order incertae sedis,omnivore (FF) ,omnivore (FF),,235,Entoprocta,3,2
Unionidae (gen. et sp. indet.),omnivore (FF) ,omnivore (FF),,236,Unionoida,3,2
"Bivalvia (Mytilidae, cf. Anodonta)",omnivore (FF) ,omnivore (FF),,237,Mytiloidea,3,2
Gastropoda (Vivaparidae: Vivaparus sp.),omnivore (FF) ,omnivore (FF),,238,Streptoneura,3,1
Gastropoda: Planorbidae (Australorbis cf. pseudoammonius),omnivore (FF) ,omnivore (FF),,239,Pulmonata,3,1
Gastropoda: Fam. Indet. (Toxocoprulus weitzeli),omnivore (FF) ,omnivore (FF),,240,?Sorbeoconcha,3,2
Gastropoda: Pleuroceridae (gen. et sp. indet.),herbivore (EFF) ,herbivore (EFF),,241,Sorbeoconcha,3,2
Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),242,Branchiopoda,3,2
Moinidae (Moina macrocopa),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),243,Cladocera,3,2
Cf. Bosminidae,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),244,Cladocera,3,2
Daphniidae (Ctenodaphnia magna),detritivore detritivore,detritivore,detritivore,245,Cladocera,3,2
Daphniidae (Daphnia pulex),detritivore detritivore,detritivore,detritivore,246,Cladocera,3,2
Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),247,Ostracoda,3,2
Cf. Ovjurium or Monoleiolophus),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),248,Conchostraca,3,2
Atyidae (gen. et sp. indet.),predator predator,predator,predator,249,Decapoda,3,2
Baetidae or Siphlonuridae,detritivore nonfeeding,detritivore,nonfeeding,250,Ephemeroptera,3,3
"Fam. indet., sp. 1",insectivore insectivore,insectivore,insectivore,251,Odonata,2,3
"Fam. indet., sp. 2",insectivore insectivore,insectivore,insectivore,252,Odonata,2,3
Anisoptera (Aeschnidae gen. et sp. indet.),insectivore insectivore,insectivore,insectivore,253,Odonata,3,3
"Zygoptera (Coenagrionidae indet., DT76)",insectivore insectivore,insectivore,insectivore,254,Odonata,3,3
"Zygoptera (Coenagrionidae indet., DT 54)",insectivore insectivore,insectivore,insectivore,255,Odonata,2,3
"Zygoptera (fam. indet., DT100)",insectivore insectivore,insectivore,insectivore,256,Odonata,2,3
Fam. indet.,detritivore detritivore,detritivore,detritivore,257,Plecoptera,3,3
Gryllacrididae,herbivore (RF) herbivore (RF),herbivore (RF),herbivore (RF),258,Orthoptera,3,1
Tettigoniidae,herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),259,Orthoptera,3,1
"Fam. indet. (DT12, DT13, DT14)",herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),260,Orthoptera,1,1
Fam. indet,detritivore omnivore,detritivore,omnivore,261,Dermaptera,3,1
Blattidae (Periplaneta eocaenica),detritivore detritivore,detritivore,detritivore,262,Blattodea,3,1
Blattidae (Periplaneta relicta),detritivore detritivore,detritivore,detritivore,263,Blattodea,3,1
Mastotermitidae (Mastotermes krishnorum),detritivore detritivore,detritivore,detritivore,264,Isoptera,3,1
Hodotermitidae?,detritivore detritivore,detritivore,detritivore,265,Isoptera,3,1
Fam. indet. (DT12),herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),266,Phasmatodea,3,1
Phyllidae (Eophyllium messelensis),herbivore (EFF) herbivore (EFF),herbivore (EFF),herbivore (EFF),267,Phasmatodea,3,1
"Coccoidea (fam. indet. 1, DT157)",herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),268,Hemiptera,2,1
Coccoidea (fam. indet. 2. DT183,herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),269,Hemiptera,3,1
"Coccoidea (fam. indet. 3, DT132)",herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),270,Hemiptera,3,1
"Diaspididae (Aspidiotinae sp. 1, DT191",herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),271,Hemiptera,3,1
"Diaspididae (Aspidiotinae sp. 2, DT168",herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),272,Hemiptera,3,1
"Aphididae (gen. sp. indet., DT146",herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),273,Hemiptera,3,1
"Aphididae (""Hamamelistes"" sp., DT205",herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),274,Hemiptera,3,1
"Aphididae (cf. Pemphigus sp., DT169",herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),275,Hemiptera,3,1
"Aphididae (Trioza sp., DT32)",herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),276,Hemiptera,3,1
"Aphididae (gen. et sp. indet., DT190)",herbivore (GA) herbivore (P&S),herbivore (GA),herbivore (P&S),277,Hemiptera,3,1
Fulgoridae (gen. et sp. indet.),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),278,Hemiptera,3,1
Cercopidae (gen. indet.,herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),279,Hemiptera,3,1
Cicadidae gen. et sp. indet.),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),280,Hemiptera,3,1
Cf. Membracidae (gen. et sp. indet.),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),281,Hemiptera,3,1
Cf. Ricaniidae (gen. et sp. indet.),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),282,Hemiptera,3,1
Flatidae (gen. et sp. indet.),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),283,Hemiptera,3,1
Dictyopharidae (Dictyopharinae gen. et sp. indet),herbivore (P&S) herbivore (P&S),herbivore (P&S),herbivore (P&S),284,Hemiptera,3,1
