Column1,sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
237,"Bivalvia (Mytilidae, cf. Anodonta)",omnivore (FF) ,omnivore (FF),,237,Mytiloidea,3,2,8,1,2.4444444444444446,2.0,5.526315789473684,7.5,2.723190235690236,2.483022668532877,13.089121153637285
240,Gastropoda: Fam. Indet. (Toxocoprulus weitzeli),omnivore (FF) ,omnivore (FF),,240,?Sorbeoconcha,3,2,2,4,2.0,1.0,1.0,52.5,2.723190235690236,2.483022668532877,13.089121153637285
241,Gastropoda: Pleuroceridae (gen. et sp. indet.),herbivore (EFF) ,herbivore (EFF),,241,Sorbeoconcha,3,2,5,4,2.2,2.0,1.0,15.0,2.2,1.0,15.0
242,Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),242,Branchiopoda,3,2,5,8,2.0,1.0,1.2804878048780488,21.0,2.408333333333333,1.1047556226580668,11.673193473193473
243,Moinidae (Moina macrocopa),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),243,Cladocera,3,2,7,13,2.6666666666666665,2.0,1.0824742268041236,8.076923076923077,2.408333333333333,1.1047556226580668,11.673193473193473
244,Cf. Bosminidae,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),244,Cladocera,3,2,7,15,2.6666666666666665,2.0,1.0606060606060606,8.076923076923077,2.408333333333333,1.1047556226580668,11.673193473193473
245,Daphniidae (Ctenodaphnia magna),detritivore detritivore,detritivore,detritivore,245,Cladocera,3,2,9,9,2.7857142857142856,2.0,1.105263157894737,5.526315789473684,3.0126396237507347,1.1894794268814426,4.749209088294507
246,Daphniidae (Daphnia pulex),detritivore detritivore,detritivore,detritivore,246,Cladocera,3,2,5,10,2.857142857142857,2.0,1.1170212765957446,7.0,3.0126396237507347,1.1894794268814426,4.749209088294507
247,Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),247,Ostracoda,3,2,7,9,2.375,2.0,1.0606060606060606,9.545454545454545,2.408333333333333,1.1047556226580668,11.673193473193473
248,Cf. Ovjurium or Monoleiolophus),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),248,Conchostraca,3,2,5,7,2.3333333333333335,2.0,1.0396039603960396,11.666666666666666,2.408333333333333,1.1047556226580668,11.673193473193473
249,Atyidae (gen. et sp. indet.),predator predator,predator,predator,249,Decapoda,3,2,4,4,2.6666666666666665,2.0,0.8898305084745762,8.75,2.6666666666666665,0.8898305084745762,8.75
250,Baetidae or Siphlonuridae,detritivore nonfeeding,detritivore,nonfeeding,250,Ephemeroptera,3,3,8,14,2.8666666666666667,2.0,1.4,5.25,2.8564102564102565,1.3907894736842104,4.725
251,"Fam. indet., sp. 1",insectivore insectivore,insectivore,insectivore,251,Odonata,2,3,11,4,4.156398104265403,4.0,0.9905660377358491,0.6441717791411042,4.0108532919838575,1.1689492814435312,0.6631371669465811
252,"Fam. indet., sp. 2",insectivore insectivore,insectivore,insectivore,252,Odonata,2,3,11,5,4.026595744680851,4.0,1.0194174757281553,0.65625,4.0108532919838575,1.1689492814435312,0.6631371669465811
253,Anisoptera (Aeschnidae gen. et sp. indet.),insectivore insectivore,insectivore,insectivore,253,Odonata,3,3,17,9,4.048158640226629,4.0,1.1797752808988764,0.6687898089171974,4.0108532919838575,1.1689492814435312,0.6631371669465811
254,"Zygoptera (Coenagrionidae indet., DT76)",insectivore insectivore,insectivore,insectivore,254,Odonata,3,3,13,8,4.118279569892473,4.0,1.2352941176470589,0.6645569620253164,4.0108532919838575,1.1689492814435312,0.6631371669465811
255,"Zygoptera (Coenagrionidae indet., DT 54)",insectivore insectivore,insectivore,insectivore,255,Odonata,2,3,14,11,4.134545454545455,3.0,1.2804878048780488,0.6907894736842105,4.0108532919838575,1.1689492814435312,0.6631371669465811
256,"Zygoptera (fam. indet., DT100)",insectivore insectivore,insectivore,insectivore,256,Odonata,2,3,11,8,3.978609625668449,3.0,1.1170212765957446,0.6774193548387096,4.0108532919838575,1.1689492814435312,0.6631371669465811
257,Fam. indet.,detritivore detritivore,detritivore,detritivore,257,Plecoptera,3,3,21,12,3.3950617283950617,3.0,1.3461538461538463,1.721311475409836,3.0126396237507347,1.1894794268814426,4.749209088294507
295,Gerridae (Gerris sp.),insectivore insectivore,insectivore,insectivore,295,Hemiptera,3,2,26,14,3.907258064516129,4.0,1.4,0.6818181818181818,4.0108532919838575,1.1689492814435312,0.6631371669465811
296,Gerridae (Cylindrobates messelensis),insectivore insectivore,insectivore,insectivore,296,Hemiptera,3,2,28,8,3.716981132075472,4.0,1.1290322580645162,0.621301775147929,4.0108532919838575,1.1689492814435312,0.6631371669465811
297,Notonectidae (gen. et sp. indet.),insectivore herbivore (P&S),insectivore,herbivore (P&S),297,Hemiptera,3,2,32,13,3.965079365079365,3.0,1.3125,0.8203125,3.965079365079365,1.3125,0.8203125
304,Hydrophilidae (Eubrianax),detritivore omnivore,detritivore,omnivore,304,Coleoptera,3,2,25,13,3.7407407407407405,5.0,1.4788732394366197,0.5737704918032787,3.7407407407407405,1.4788732394366197,0.5737704918032787
305,Dytiscidae (gen. et sp. indet.),insectivore predator,insectivore,predator,305,Coleoptera,3,2,28,12,4.033259423503326,3.0,1.2962962962962963,0.7835820895522388,4.033259423503326,1.2962962962962963,0.7835820895522388
437,Tipulidae (gen. et sp. indet.),detritivore herbivore (SFF),detritivore,herbivore (SFF),437,Diptera,3,3,13,13,2.2857142857142856,2.0,1.3291139240506329,5.0,2.812698412698413,1.3134426703894448,3.417393109173931
438,Limoniidae (gen. et sp. indet.),detritivore nonfeeding,detritivore,nonfeeding,438,Diptera,3,3,14,13,2.8461538461538463,3.0,1.381578947368421,4.2,2.8564102564102565,1.3907894736842104,4.725
