trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
60,60,aquatic heterotroph microbes,1,1,2,2.0,1.0,2.277777777777778,82.0,60.13333333333333,7.454545454545454,82.0,4.96969696969697,60.13333333333333
61,61,aquatic heterotroph microbes,1,4,1,2.8333333333333335,2.0,2.277777777777778,16.4,60.13333333333333,0.0,16.4,4.96969696969697,60.13333333333333
62,62,aquatic heterotroph microbes,1,1,2,2.0,1.0,2.277777777777778,82.0,60.13333333333333,7.454545454545454,82.0,4.96969696969697,60.13333333333333
63,63;64,aquatic unicellular/small algae,2,0,1,1.0,0.0,1.0,0.0,0.0,5.466666666666667,0.0,3.5392210144927536,0.0
65,65,aquatic unicellular/small algae,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5392210144927536,0.0
66,66,aquatic unicellular/small algae,1,0,3,1.0,0.0,1.0,0.0,0.0,3.5652173913043477,0.0,3.5392210144927536,0.0
67,67,aquatic unicellular/small algae,1,0,2,1.0,0.0,1.0,0.0,0.0,5.125,0.0,3.5392210144927536,0.0
68,68,planktic large colonial algae,1,0,1,1.0,0.0,1.0,0.0,0.0,8.2,0.0,8.2,0.0
69,69,benthic filamentous algae,1,0,3,1.0,0.0,1.0,0.0,0.0,11.714285714285714,0.0,11.497354497354495,0.0
70,70;71;72;78,benthic filamentous algae,4,0,2,1.0,0.0,1.0,0.0,0.0,9.11111111111111,0.0,11.497354497354495,0.0
73,73,benthic filamentous algae,1,0,1,1.0,0.0,1.0,0.0,0.0,13.666666666666666,0.0,11.497354497354495,0.0
74,74,other benthic/epiphytic algae,1,0,3,1.0,0.0,1.0,0.0,0.0,9.11111111111111,0.0,8.655555555555555,0.0
75,75;76;77,other benthic/epiphytic algae,3,0,3,1.0,0.0,1.0,0.0,0.0,8.2,0.0,8.655555555555555,0.0
79,79,partially terrestrial epilithic/epiphytic algae,1,0,5,1.0,0.0,1.0,0.0,0.0,5.125,0.0,4.2858187134502925,0.0
80,80,partially terrestrial epilithic/epiphytic algae,1,0,5,1.0,0.0,1.0,0.0,0.0,3.4166666666666665,0.0,4.2858187134502925,0.0
