Analysis,SLN_ID,habitat,vertebrates,resource_type,Detritus,S,Interactions,L_D,C,Basal,Top,Herbiv,Carniv,MeanInDegree,StdInDegree,Mean_longest_chain,Mean_NTP,Max_NTP,Mean_NTP_norm,TrOmniv,q_inCoherence,Mean_path_len,Std_path_len
Rhynie_lumped,49,both,no,mixed,2,37,103,2.783783784,0.077327327,0.314285714,0.135135135,0.166666667,0.458333333,4.291666667,3.057125201,1.324324324,2.237566765,4.154929577,0.538533018,0.666666667,0.645853219,1.694214876,0.64856017
Rhynie_lumped,5,both,no,mixed,2,37,75,2.027027027,0.056306306,0.314285714,0.054054054,0.125,0.5,3.125,3.097158586,1.459459459,2.447575205,5.5,0.445013674,0.75,0.778219674,2.254901961,1.072988638
Rhynie_lumped,50,both,no,mixed,2,37,63,1.702702703,0.047297297,0.314285714,0.162162162,0.166666667,0.583333333,2.625,2.280589169,1.324324324,2.278510465,5.166666667,0.441002026,0.5,0.774001365,1.915584416,0.907134386
Rhynie_lumped,51,both,no,mixed,2,37,91,2.459459459,0.068318318,0.314285714,0.027027027,0.083333333,0.541666667,3.791666667,3.216522111,1.135135135,2.201894693,4.714285714,0.467068571,0.583333333,0.839290376,1.878923767,0.832154865
Rhynie_lumped,52,both,no,mixed,2,37,77,2.081081081,0.057807808,0.314285714,0.135135135,0.166666667,0.583333333,3.208333333,2.903957819,1.27027027,2.132052436,4.152173913,0.513478597,0.5,0.692932933,1.711764706,0.708680208
Rhynie_lumped,53,both,no,mixed,2,37,68,1.837837838,0.051051051,0.314285714,0.189189189,0.166666667,0.625,2.833333333,2.352919864,1.27027027,2.266817642,4.75,0.477224767,0.583333333,0.709793838,1.75177305,0.803172534
Rhynie_lumped,54,both,no,mixed,2,37,80,2.162162162,0.06006006,0.314285714,0.054054054,0.125,0.5,3.333333333,2.943920289,1.459459459,2.362167417,4.6,0.513514656,0.708333333,0.72877953,1.815384615,0.750786001
Rhynie_lumped,55,both,no,mixed,2,37,94,2.540540541,0.070570571,0.314285714,0.027027027,0.208333333,0.458333333,3.916666667,3.255986682,1.243243243,2.295429871,4.514285714,0.508481301,0.625,0.709141799,1.778301887,0.736908454
Rhynie_lumped,56,both,no,mixed,2,37,78,2.108108108,0.058558559,0.314285714,0.108108108,0.208333333,0.5,3.25,2.658047665,1.513513514,2.313753069,4.870967742,0.475008908,0.666666667,0.623945636,2.045833333,0.91591195
Rhynie_lumped,57,both,no,mixed,2,37,78,2.108108108,0.058558559,0.314285714,0,0.333333333,0.5,3.25,3.492227394,1.216216216,2.105075607,4.5,0.467794579,0.458333333,0.756652556,1.813253012,0.878051712
Rhynie_lumped,58,both,no,mixed,2,37,85,2.297297297,0.063813814,0.314285714,0.054054054,0.166666667,0.458333333,3.541666667,2.653613888,1.351351351,2.36940948,4.416666667,0.536470071,0.583333333,0.688727149,1.829493088,0.735008328
Rhynie_lumped,59,both,no,mixed,2,37,88,2.378378378,0.066066066,0.314285714,0.081081081,0.208333333,0.5,3.666666667,4.082482905,1.405405405,2.391268611,4.9,0.488014002,0.583333333,0.721396528,1.931330472,0.873215638
Rhynie_lumped,6,both,no,mixed,2,37,97,2.621621622,0.072822823,0.314285714,0.054054054,0.208333333,0.541666667,4.041666667,3.758806086,1.405405405,2.364950155,4.909090909,0.481749106,0.583333333,0.778789304,1.906614786,0.865481159
Rhynie_lumped,60,both,no,mixed,2,37,94,2.540540541,0.070570571,0.314285714,0.135135135,0.166666667,0.541666667,3.916666667,3.322082462,1.351351351,2.327986707,4.306122449,0.540622505,0.666666667,0.687512873,1.746835443,0.647060258
Rhynie_lumped,61,both,no,mixed,2,37,83,2.243243243,0.062312312,0.314285714,0.162162162,0.166666667,0.458333333,3.458333333,2.653613888,1.243243243,2.148579639,4.212121212,0.510094447,0.625,0.601485789,1.701492537,0.640661971
Rhynie_lumped,62,both,no,mixed,2,37,87,2.351351351,0.065315315,0.314285714,0,0.25,0.458333333,3.625,4.008821794,1.243243243,2.248492608,4.9,0.458876043,0.583333333,0.653772018,1.815642458,0.902294831
Rhynie_lumped,63,both,no,mixed,2,37,84,2.27027027,0.063063063,0.314285714,0.081081081,0.208333333,0.458333333,3.5,3.400767177,1.594594595,2.493515811,5.6,0.44527068,0.625,0.838416782,1.898989899,0.912351227
Rhynie_lumped,64,both,no,mixed,2,37,78,2.108108108,0.058558559,0.314285714,0.054054054,0.125,0.5,3.25,2.937760164,1.351351351,2.324813684,5.2,0.447079555,0.666666667,0.631725414,2.026315789,1.030919919
Rhynie_lumped,65,both,no,mixed,2,37,104,2.810810811,0.078078078,0.314285714,0.027027027,0.125,0.541666667,4.333333333,3.509820591,1.351351351,2.286568797,4.630434783,0.49381298,0.625,0.682022841,1.841509434,0.757146248
Rhynie_lumped,66,both,no,mixed,2,37,73,1.972972973,0.054804805,0.314285714,0.108108108,0.125,0.416666667,3.041666667,2.293263607,1.432432432,2.330805511,5,0.466161102,0.666666667,0.696656744,1.957317073,0.999083075
Rhynie_lumped,67,both,no,mixed,2,37,68,1.837837838,0.051051051,0.314285714,0.216216216,0.166666667,0.541666667,2.833333333,3.059790653,1.486486486,2.459142965,5.857142857,0.419853677,0.583333333,0.83456666,2.191860465,1.191265985
Rhynie_lumped,68,both,no,mixed,2,37,87,2.351351351,0.065315315,0.314285714,0.108108108,0.166666667,0.583333333,3.625,3.372684391,1.378378378,2.318469292,4.24137931,0.546630971,0.458333333,0.739113843,1.835616438,0.742183092
Rhynie_lumped,69,both,no,mixed,2,37,101,2.72972973,0.075825826,0.314285714,0,0.083333333,0.458333333,4.208333333,3.501293757,1.351351351,2.292732701,4.5,0.509496156,0.666666667,0.692345081,1.848484848,0.744917874
Rhynie_lumped,7,both,no,mixed,2,37,93,2.513513514,0.06981982,0.314285714,0.108108108,0.166666667,0.5,3.875,3.138990422,1.297297297,2.330813311,5.4,0.431632095,0.708333333,0.712245764,1.918699187,0.858032833
Rhynie_lumped,70,both,no,mixed,2,37,71,1.918918919,0.053303303,0.314285714,0.108108108,0.208333333,0.625,2.958333333,3.113493308,1.324324324,2.161037641,4.536585366,0.47635776,0.416666667,0.803356936,1.878787879,0.881986939
Rhynie_lumped,71,both,no,mixed,2,37,70,1.891891892,0.052552553,0.314285714,0.081081081,0.166666667,0.5,2.916666667,2.22469669,1.405405405,2.358924034,5.055555556,0.466600358,0.583333333,0.70215156,1.983425414,0.90354326
Rhynie_lumped,72,both,no,mixed,2,37,80,2.162162162,0.06006006,0.314285714,0.054054054,0.125,0.5,3.333333333,2.884240035,1.243243243,2.225678601,4.909090909,0.453378974,0.583333333,0.802598554,1.917098446,0.874027957
Rhynie_lumped,73,both,no,mixed,2,37,89,2.405405405,0.066816817,0.314285714,0.027027027,0.25,0.458333333,3.708333333,3.16885889,1.459459459,2.400564534,4.787234043,0.501451258,0.666666667,0.787385793,1.967741935,0.833853392
Rhynie_lumped,74,both,no,mixed,2,37,72,1.945945946,0.054054054,0.314285714,0.135135135,0.166666667,0.541666667,3,2.813013238,1.297297297,2.221399541,4.681818182,0.474473688,0.541666667,0.625176967,1.765432099,0.735465458
Rhynie_lumped,75,both,no,mixed,2,37,87,2.351351351,0.065315315,0.314285714,0.081081081,0.208333333,0.5,3.625,3.831363703,1.351351351,2.273033552,4.551020408,0.499455803,0.541666667,0.861969664,1.757062147,0.792556538
Rhynie_lumped,76,both,no,mixed,2,37,82,2.216216216,0.061561562,0.314285714,0.108108108,0.041666667,0.541666667,3.416666667,2.263446135,1.486486486,2.403254707,5.3,0.453444284,0.75,0.759222626,2.073059361,1.033456502
Rhynie_lumped,77,both,no,mixed,2,37,70,1.891891892,0.052552553,0.314285714,0.054054054,0.083333333,0.458333333,2.916666667,2.412227307,1.621621622,2.447125601,4.916666667,0.497720461,0.875,0.744237879,2.12,0.958421321
Rhynie_lumped,78,both,no,mixed,2,37,99,2.675675676,0.074324324,0.314285714,0.054054054,0.25,0.5,4.125,4.266273193,1.486486486,2.367966282,4.47826087,0.52876917,0.583333333,0.812452936,1.879844961,0.787240647
Rhynie_lumped,79,both,no,mixed,2,37,115,3.108108108,0.086336336,0.314285714,0,0.166666667,0.416666667,4.791666667,4.252663275,1.459459459,2.313833477,4.216216216,0.548793837,0.75,0.765516394,1.746153846,0.727947752
Rhynie_lumped,8,both,no,mixed,2,37,68,1.837837838,0.051051051,0.314285714,0.162162162,0.125,0.541666667,2.833333333,2.664854457,1.459459459,2.368512912,6,0.394752152,0.416666667,0.766205005,1.987951807,1.008977591
Rhynie_lumped,80,both,no,mixed,2,37,79,2.135135135,0.059309309,0.314285714,0.054054054,0.25,0.541666667,3.291666667,3.432316579,1.243243243,2.144089861,4.090909091,0.524110855,0.458333333,0.652159066,1.766169154,0.692856227
Rhynie_lumped,81,both,no,mixed,2,37,66,1.783783784,0.04954955,0.314285714,0.135135135,0.125,0.625,2.75,2.908009928,1.27027027,2.294052494,5,0.458810499,0.458333333,0.81679115,2.011904762,0.915522136
Rhynie_lumped,82,both,no,mixed,2,37,88,2.378378378,0.066066066,0.314285714,0.081081081,0.125,0.541666667,3.666666667,3.13003218,1.513513514,2.480006551,4.75,0.522106642,0.625,0.812162597,2.08778626,0.911780953
Rhynie_lumped,83,both,no,mixed,2,37,59,1.594594595,0.044294294,0.314285714,0.162162162,0.25,0.5,2.458333333,2.042572263,1.405405405,2.396656668,5.666666667,0.422939412,0.583333333,0.735068663,2.260273973,1.03197589
Rhynie_lumped,84,both,no,mixed,2,37,99,2.675675676,0.074324324,0.314285714,0.081081081,0.208333333,0.416666667,4.125,3.274572657,1.405405405,2.278085778,4.352941176,0.52334403,0.708333333,0.649032987,1.825910931,0.795092085
Rhynie_lumped,85,both,no,mixed,2,37,76,2.054054054,0.057057057,0.314285714,0.162162162,0.166666667,0.583333333,3.166666667,3.073967365,1.351351351,2.398900815,5.7,0.420859792,0.458333333,0.675986295,2.154929577,1.111448409
Rhynie_lumped,86,both,no,mixed,2,37,106,2.864864865,0.07957958,0.314285714,0.027027027,0.125,0.5,4.416666667,4.20058657,1.189189189,2.257171204,4.818181818,0.468469495,0.625,0.841356533,1.813278008,0.818019739
Rhynie_lumped,87,both,no,mixed,2,37,70,1.891891892,0.052552553,0.314285714,0.108108108,0.375,0.541666667,2.916666667,2.733315659,1.162162162,2.153254021,4.534883721,0.474820117,0.333333333,0.626044402,1.833333333,0.745571382
Rhynie_lumped,88,both,no,mixed,2,37,109,2.945945946,0.081831832,0.314285714,0,0.291666667,0.5,4.541666667,4.128155359,1.297297297,2.191558539,4.416666667,0.496201933,0.5,0.733515524,1.718487395,0.717880893
Rhynie_lumped,89,both,no,mixed,2,37,114,3.081081081,0.085585586,0.314285714,0,0.125,0.458333333,4.75,3.662382214,1.351351351,2.36323067,4.323076923,0.546654781,0.791666667,0.729279281,1.730337079,0.684369722
Rhynie_lumped,9,both,no,mixed,2,37,61,1.648648649,0.045795796,0.314285714,0.27027027,0.333333333,0.541666667,2.541666667,2.466808652,1.351351351,2.221541647,4.470588235,0.49692379,0.416666667,0.76894676,1.874172185,0.810799077
Rhynie_lumped,90,both,no,mixed,2,37,69,1.864864865,0.051801802,0.314285714,0.189189189,0.291666667,0.458333333,2.875,2.524876235,1.297297297,2.153172014,4.413793103,0.487828035,0.416666667,0.77496053,1.763513514,0.79420937
Rhynie_lumped,91,both,no,mixed,2,37,79,2.135135135,0.059309309,0.314285714,0.081081081,0.125,0.583333333,3.291666667,2.694263902,1.540540541,2.481578564,5,0.496315713,0.583333333,0.774150889,1.966183575,0.87789268
Rhynie_lumped,92,both,no,mixed,2,37,88,2.378378378,0.066066066,0.314285714,0.135135135,0.291666667,0.416666667,3.666666667,3.39650289,1.324324324,2.2326942,4.461538462,0.500431459,0.666666667,0.704492352,1.790243902,0.779581612
Rhynie_lumped,93,both,no,mixed,2,37,73,1.972972973,0.054804805,0.314285714,0.054054054,0.25,0.458333333,3.041666667,3.071314216,1.351351351,2.250820573,5,0.450164115,0.458333333,0.834433076,2.170616114,1.032467732
