SLN_no,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
14,84,2.27027027,0.063063063,0.297297297,0.135135135,0.083333333,0.5,3.5,3.426241444,1.567567568,2.471893288,5,0.494378658,0.583333333,0.752237977,1.943127962,0.913698751,0
15,90,2.432432432,0.067567568,0.297297297,0.027027027,0.25,0.583333333,3.75,3.454675471,1.567567568,2.428476373,5.28,0.459938707,0.5,0.894502635,2.131782946,1.039154437,0
16,55,1.486486486,0.041291291,0.297297297,0.27027027,0.166666667,0.541666667,2.291666667,1.731527766,1.243243243,2.232128232,4.8,0.465026715,0.458333333,0.681207561,1.700934579,0.82662023,0
17,122,3.297297297,0.091591592,0.297297297,0,0.208333333,0.416666667,5.083333333,4.451835642,1.405405405,2.274914181,3.948979592,0.576076459,0.708333333,0.714349053,1.61752988,0.610844885,0
18,84,2.27027027,0.063063063,0.297297297,0.135135135,0.291666667,0.416666667,3.5,2.90426972,1.27027027,2.2448877,4.47826087,0.501285603,0.666666667,0.652179996,1.867924528,0.843997166,0
19,62,1.675675676,0.046546547,0.297297297,0.243243243,0.166666667,0.625,2.583333333,2.586195236,1.27027027,2.228207753,4.475,0.49792352,0.458333333,0.619195454,1.74137931,0.835314985,0
20,91,2.459459459,0.068318318,0.297297297,0.027027027,0.291666667,0.375,3.791666667,3.413262709,1.297297297,2.151531145,4.586956522,0.469054183,0.541666667,0.754897849,1.82038835,0.815563157,0
21,92,2.486486486,0.069069069,0.297297297,0.027027027,0.166666667,0.5,3.833333333,3.073967365,1.405405405,2.395496583,5.090909091,0.470543972,0.541666667,0.75551801,2.015748031,0.915257168,0
22,82,2.216216216,0.061561562,0.297297297,0.054054054,0.166666667,0.541666667,3.416666667,3.488074923,1.297297297,2.310337435,4.7,0.491561156,0.541666667,0.726049643,1.981395349,0.859051807,0
23,85,2.297297297,0.063813814,0.297297297,0.081081081,0.125,0.583333333,3.541666667,3.120467728,1.459459459,2.42744269,5.388888889,0.450453283,0.583333333,0.790041519,2.106995885,0.95176675,0
24,102,2.756756757,0.076576577,0.297297297,0.081081081,0.166666667,0.458333333,4.25,3.57831634,1.297297297,2.259078974,4.2,0.537875946,0.625,0.728352694,1.761904762,0.739872968,0
25,100,2.702702703,0.075075075,0.297297297,0.054054054,0.125,0.541666667,4.166666667,4.124862756,1.297297297,2.396989847,4.314814815,0.555525544,0.666666667,0.725333167,1.678571429,0.718795288,0
26,69,1.864864865,0.051801802,0.297297297,0.162162162,0.166666667,0.541666667,2.875,3.083088514,1.297297297,2.258385479,4.5,0.50186344,0.416666667,0.669627938,1.832369942,0.75536349,0
27,71,1.918918919,0.053303303,0.297297297,0.081081081,0.291666667,0.625,2.958333333,3.928482024,1.27027027,2.280237443,5.571428571,0.409273387,0.333333333,1.074659973,2.101796407,1.144050775,0
28,93,2.513513514,0.06981982,0.297297297,0.054054054,0.25,0.416666667,3.875,3.125108694,1.405405405,2.34987801,4.555555556,0.51582688,0.666666667,0.776473362,1.872340426,0.790353737,0
29,50,1.351351351,0.037537538,0.297297297,0.297297297,0.333333333,0.583333333,2.083333333,1.909169331,1.27027027,2.319237563,5,0.463847513,0.291666667,0.584038175,2.007407407,0.893561516,0
30,97,2.621621622,0.072822823,0.297297297,0.135135135,0.208333333,0.458333333,4.041666667,3.48261729,1.432432432,2.356520633,4.714285714,0.499868013,0.666666667,0.744056417,1.858447489,0.874228027,0
31,68,1.837837838,0.051051051,0.297297297,0.135135135,0.291666667,0.5,2.833333333,3.116110545,1.378378378,2.429449203,6,0.4049082,0.333333333,0.800730353,2.233502538,1.118624527,0
32,80,2.162162162,0.06006006,0.297297297,0.162162162,0.25,0.458333333,3.333333333,2.914232939,1.486486486,2.467143682,5.666666667,0.435378297,0.666666667,0.773303888,1.940860215,0.998240242,0
33,51,1.378378378,0.038288288,0.297297297,0.27027027,0.291666667,0.5,2.125,2.251810865,1.378378378,2.28967429,5,0.457934858,0.458333333,0.630853019,1.747368421,0.933631904,0
34,79,2.135135135,0.059309309,0.297297297,0.027027027,0.208333333,0.5,3.291666667,3.155108579,1.432432432,2.402960395,4.84,0.496479421,0.625,0.774151396,2.121495327,1.022840383,0
35,72,1.945945946,0.054054054,0.297297297,0.135135135,0.208333333,0.666666667,3,3.050302907,1.162162162,2.242281702,5.523809524,0.405930308,0.375,1.245316344,2.12,1.17071547,0
36,97,2.621621622,0.072822823,0.297297297,0,0.166666667,0.458333333,4.041666667,3.605300044,1.297297297,2.31436883,4.6,0.503123659,0.666666667,0.825991584,1.912087912,0.785648173,0
37,63,1.702702703,0.047297297,0.297297297,0.189189189,0.291666667,0.541666667,2.625,2.567565248,1.108108108,2.070763133,4.1875,0.494510599,0.291666667,0.496097736,1.741496599,0.741051043,0
38,83,2.243243243,0.062312312,0.297297297,0.108108108,0.083333333,0.541666667,3.458333333,3.659165582,1.486486486,2.403008271,4.888888889,0.491524419,0.75,0.700257891,1.991071429,0.873070307,0
39,72,1.945945946,0.054054054,0.297297297,0,0.25,0.541666667,3,3.134658986,1.621621622,2.39930129,5.428571429,0.441976553,0.625,0.903934803,2.305825243,1.225208812,0
40,96,2.594594595,0.072072072,0.297297297,0.027027027,0.25,0.416666667,4,3.526298712,1.351351351,2.256830619,4,0.564207655,0.708333333,0.613118901,1.632352941,0.625510513,0
41,80,2.162162162,0.06006006,0.297297297,0.108108108,0.25,0.583333333,3.333333333,3.39650289,1.567567568,2.491379683,4.795918367,0.519479168,0.541666667,0.853098005,2.02293578,0.957351668,0
42,78,2.108108108,0.058558559,0.297297297,0.027027027,0.25,0.5,3.25,3.220180929,1.297297297,2.243114274,4.9,0.457778423,0.625,0.694725781,1.856382979,0.843732288,0
43,79,2.135135135,0.059309309,0.297297297,0.135135135,0.25,0.541666667,3.291666667,2.866283257,1.324324324,2.367098814,4.612903226,0.513147295,0.583333333,0.734501974,1.924170616,0.801150155,0
44,87,2.351351351,0.065315315,0.297297297,0.027027027,0.208333333,0.541666667,3.625,3.633330009,1.459459459,2.340889706,4.6,0.508889066,0.625,0.772723274,1.93697479,0.816637703,0
45,97,2.621621622,0.072822823,0.297297297,0,0.208333333,0.5,4.041666667,3.723943289,1.486486486,2.373283825,4.458333333,0.532325344,0.625,0.790551355,1.853982301,0.833150422,0
46,85,2.297297297,0.063813814,0.297297297,0.108108108,0.125,0.458333333,3.541666667,3.021361148,1.432432432,2.374456196,4.603448276,0.515799473,0.75,0.713376627,1.894009217,0.823728571,0
47,73,1.972972973,0.054804805,0.297297297,0.216216216,0.125,0.458333333,3.041666667,2.312144998,1.432432432,2.353109355,5,0.470621871,0.666666667,0.556213296,2.097345133,0.899032584,0
48,98,2.648648649,0.073573574,0.297297297,0.054054054,0.166666667,0.458333333,4.083333333,3.549852008,1.378378378,2.349342074,4.684210526,0.501544937,0.75,0.625476844,1.87732342,0.770131974,0
49,103,2.783783784,0.077327327,0.297297297,0.135135135,0.166666667,0.458333333,4.291666667,3.057125201,1.324324324,2.237566765,4.154929577,0.538533018,0.666666667,0.645853219,1.694214876,0.64856017,0
50,63,1.702702703,0.047297297,0.297297297,0.162162162,0.166666667,0.583333333,2.625,2.280589169,1.324324324,2.278510465,5.166666667,0.441002026,0.5,0.774001365,1.915584416,0.907134386,0
51,91,2.459459459,0.068318318,0.297297297,0.027027027,0.083333333,0.541666667,3.791666667,3.216522111,1.135135135,2.201894693,4.714285714,0.467068571,0.583333333,0.839290376,1.878923767,0.832154865,0
52,77,2.081081081,0.057807808,0.297297297,0.135135135,0.166666667,0.583333333,3.208333333,2.903957819,1.27027027,2.132052436,4.152173913,0.513478597,0.5,0.692932933,1.711764706,0.708680208,0
53,68,1.837837838,0.051051051,0.297297297,0.189189189,0.166666667,0.625,2.833333333,2.352919864,1.27027027,2.266817642,4.75,0.477224767,0.583333333,0.709793838,1.75177305,0.803172534,0
54,80,2.162162162,0.06006006,0.297297297,0.054054054,0.125,0.5,3.333333333,2.943920289,1.459459459,2.362167417,4.6,0.513514656,0.708333333,0.72877953,1.815384615,0.750786001,0
55,94,2.540540541,0.070570571,0.297297297,0.027027027,0.208333333,0.458333333,3.916666667,3.255986682,1.243243243,2.295429871,4.514285714,0.508481301,0.625,0.709141799,1.778301887,0.736908454,0
56,78,2.108108108,0.058558559,0.297297297,0.108108108,0.208333333,0.5,3.25,2.658047665,1.513513514,2.313753069,4.870967742,0.475008908,0.666666667,0.623945636,2.045833333,0.91591195,0
57,78,2.108108108,0.058558559,0.297297297,0,0.333333333,0.5,3.25,3.492227394,1.216216216,2.105075607,4.5,0.467794579,0.458333333,0.756652556,1.813253012,0.878051712,0
58,85,2.297297297,0.063813814,0.297297297,0.054054054,0.166666667,0.458333333,3.541666667,2.653613888,1.351351351,2.36940948,4.416666667,0.536470071,0.583333333,0.688727149,1.829493088,0.735008328,0
59,88,2.378378378,0.066066066,0.297297297,0.081081081,0.208333333,0.5,3.666666667,4.082482905,1.405405405,2.391268611,4.9,0.488014002,0.583333333,0.721396528,1.931330472,0.873215638,0
60,94,2.540540541,0.070570571,0.297297297,0.135135135,0.166666667,0.541666667,3.916666667,3.322082462,1.351351351,2.327986707,4.306122449,0.540622505,0.666666667,0.687512873,1.746835443,0.647060258,0
61,83,2.243243243,0.062312312,0.297297297,0.162162162,0.166666667,0.458333333,3.458333333,2.653613888,1.243243243,2.148579639,4.212121212,0.510094447,0.625,0.601485789,1.701492537,0.640661971,0
62,87,2.351351351,0.065315315,0.297297297,0,0.25,0.458333333,3.625,4.008821794,1.243243243,2.248492608,4.9,0.458876043,0.583333333,0.653772018,1.815642458,0.902294831,0
63,84,2.27027027,0.063063063,0.297297297,0.081081081,0.208333333,0.458333333,3.5,3.400767177,1.594594595,2.493515811,5.6,0.44527068,0.625,0.838416782,1.898989899,0.912351227,0
64,78,2.108108108,0.058558559,0.297297297,0.054054054,0.125,0.5,3.25,2.937760164,1.351351351,2.324813684,5.2,0.447079555,0.666666667,0.631725414,2.026315789,1.030919919,0
